0.000000e+00 1.745329e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.146902e+02 1.0311073127e+06 4.3920620750e+02 1.03154651894216099754e+06 4.89735422550440489431e+03 4.14690230279999980212e+02
1.000000e-02 1.745636e-01 2.364962e-05 4.146879e+00 6.056114e-03 7.056510e-03 4.146833e+02 1.0311073151e+06 4.3920383065e+02 1.03154651894216181245e+06 4.89735422550448947732e+03 4.14690230279999468621e+02
2.000000e-02 1.746509e-01 1.846481e-04 8.293623e+00 1.116178e-02 2.709822e-02 4.146635e+02 1.0311073219e+06 4.3919707096e+02 1.03154651894216041546e+06 4.89735422550460498314e+03 4.14690230279998786500e+02
3.000000e-02 1.747810e-01 5.984333e-04 1.244012e+01 1.451816e-02 5.693388e-02 4.146342e+02 1.0311073320e+06 4.3918698312e+02 1.03154651894215925131e+06 4.89735422550467137626e+03 4.14690230279998388596e+02
4.000000e-02 1.749336e-01 1.340331e-03 1.658629e+01 1.560403e-02 9.184558e-02 4.145998e+02 1.0311073438e+06 4.3917514116e+02 1.03154651894215878565e+06 4.89735422550471594150e+03 4.14690230279998161222e+02
5.000000e-02 1.750849e-01 2.434016e-03 2.073211e+01 1.425554e-02 1.263625e-01 4.145658e+02 1.0311073555e+06 4.3916339274e+02 1.03154651894215913489e+06 4.89735422550473595038e+03 4.14690230279998104379e+02
6.000000e-02 1.752113e-01 3.848306e-03 2.487762e+01 1.068848e-02 1.551285e-01 4.145375e+02 1.0311073654e+06 4.3915357099e+02 1.03154651894215913489e+06 4.89735422550474231684e+03 4.14690230279998047536e+02
7.000000e-02 1.752931e-01 5.502490e-03 2.902290e+01 5.461348e-03 1.737196e-01 4.145192e+02 1.0311073717e+06 4.3914720837e+02 1.03154651894215948414e+06 4.89735422550474140735e+03 4.14690230279997990692e+02
8.000000e-02 1.753177e-01 7.279090e-03 3.316805e+01 -6.128874e-04 1.792959e-01 4.145137e+02 1.0311073736e+06 4.3914529765e+02 1.03154651894216029905e+06 4.89735422550474504533e+03 4.14690230279997990692e+02
9.000000e-02 1.752812e-01 9.041957e-03 3.731322e+01 -6.592096e-03 1.710085e-01 4.145218e+02 1.0311073708e+06 4.3914813696e+02 1.03154651894215994980e+06 4.89735422550480780046e+03 4.14690230279997535945e+02
1.000000e-01 1.751893e-01 1.065704e-02 4.145853e+01 -1.154861e-02 1.501195e-01 4.145424e+02 1.0311073637e+06 4.3915528327e+02 1.03154651894215878565e+06 4.89735422550491693983e+03 4.14690230279996910667e+02
1.100000e-01 1.750562e-01 1.201282e-02 4.560410e+01 -1.471084e-02 1.198233e-01 4.145722e+02 1.0311073533e+06 4.3916562156e+02 1.03154651894215762150e+06 4.89735422550497878547e+03 4.14690230279996512763e+02
1.200000e-01 1.749027e-01 1.303761e-02 4.974999e+01 -1.558258e-02 8.478691e-02 4.146067e+02 1.0311073414e+06 4.3917753874e+02 1.03154651894215669017e+06 4.89735422550503608363e+03 4.14690230279996171703e+02
1.300000e-01 1.747527e-01 1.371092e-02 5.389623e+01 -1.402210e-02 5.045754e-02 4.146405e+02 1.0311073298e+06 4.3918917539e+02 1.03154651894215680659e+06 4.89735422550505336403e+03 4.14690230279996058016e+02
1.400000e-01 1.746296e-01 1.406719e-02 5.804278e+01 -1.026768e-02 2.222496e-02 4.146683e+02 1.0311073202e+06 4.3919871585e+02 1.03154651894215727225e+06 4.89735422550506063999e+03 4.14690230279996058016e+02
1.500000e-01 1.745528e-01 1.419084e-02 6.218956e+01 -4.903560e-03 4.560671e-03 4.146857e+02 1.0311073143e+06 4.3920467152e+02 1.03154651894215797074e+06 4.89735422550506063999e+03 4.14690230279996114859e+02
1.600000e-01 1.745341e-01 1.420326e-02 6.633645e+01 1.230267e-03 2.802315e-04 4.146900e+02 1.0311073128e+06 4.3920611314e+02 1.03154651894215855282e+06 4.89735422550506609696e+03 4.14690230279996058016e+02
1.700000e-01 1.745767e-01 1.424359e-02 7.048331e+01 7.170923e-03 1.006799e-02 4.146803e+02 1.0311073161e+06 4.3920281579e+02 1.03154651894215866923e+06 4.89735422550514340401e+03 4.14690230279995660112e+02
1.800000e-01 1.746738e-01 1.444652e-02 7.463002e+01 1.198641e-02 3.236030e-02 4.146584e+02 1.0311073236e+06 4.3919529394e+02 1.03154651894215750508e+06 4.89735422550521707308e+03 4.14690230279995205365e+02
1.900000e-01 1.748102e-01 1.492082e-02 7.877645e+01 1.492407e-02 6.361161e-02 4.146276e+02 1.0311073342e+06 4.3918472122e+02 1.03154651894215669017e+06 4.89735422550527982821e+03 4.14690230279994864304e+02
2.000000e-01 1.749645e-01 1.573224e-02 8.292255e+01 1.552883e-02 9.888839e-02 4.145929e+02 1.0311073462e+06 4.3917274728e+02 1.03154651894215657376e+06 4.89735422550531166053e+03 4.14690230279994693774e+02
2.100000e-01 1.751126e-01 1.689358e-02 8.706831e+01 1.371217e-02 1.326733e-01 4.145596e+02 1.0311073577e+06 4.3916124042e+02 1.03154651894215610810e+06 4.89735422550532894093e+03 4.14690230279994523244e+02
2.200000e-01 1.752316e-01 1.836317e-02 9.121377e+01 9.762447e-03 1.597336e-01 4.145329e+02 1.0311073669e+06 4.3915199604e+02 1.03154651894215645734e+06 4.89735422550533348840e+03 4.14690230279994466400e+02
2.300000e-01 1.753028e-01 2.005180e-02 9.535901e+01 4.296978e-03 1.759141e-01 4.145170e+02 1.0311073725e+06 4.3914645654e+02 1.03154651894215703942e+06 4.89735422550533257890e+03 4.14690230279994466400e+02
